강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Mobile Automation: Appium Cucumber for Android&iOS + Jenkins,https://www.udemy.com/course/test-automation-with-appium-cucumber-and-ruby/,Alex Petrovski,3.9163747,1374,8082,59,6시간
ISTQB Certified Tester - Foundation Level 2022 - Accredited,https://www.udemy.com/course/accredited-istqb-certified-tester-foundation-level-course/,Wouter Vrijen,4.6566772,1380,6196,77,11.5시간
Software Testing/ QA: Learn Basic Testing with live examples,https://www.udemy.com/course/software-qa-testing-strong-basics-with-live-examples/,Syam Mohan,3.705601,1364,3153,13,2시간
Appium - Mobile Testing with Latest 1.22 and Live Projects,https://www.udemy.com/course/appium-selendroid-tutorials/,Rahul Arora,3.833696,1352,9961,322,66.5시간
Automation framework development with Selenium C# (Advanced),https://www.udemy.com/course/framework-development-with-selenium-csharp-advanced/,Karthik KK,4.4219565,1334,7100,138,16시간
"SDET Training: Selenium WebDriver, Java Project & Code Tests",https://www.udemy.com/course/selenium-automation-tester-interview-preparation/,Shaans Training,4.32207,1313,15143,77,16시간
BDD with Selenium Webdriver and Specflow using C#,https://www.udemy.com/course/bdd-with-selenium-webdriver-and-speckflow-using-c/,Rahul Singh Rathore,4.133698,1304,6815,158,29시간
"Software Testing,QA Testing, Manual Testing,SDLC,Test Plan",https://www.udemy.com/course/software-testing-qa-fundamentals-and-manual-testing-concept/,QAEversity .,4.3401775,1243,4444,13,2시간
WebdriverIO - Selenium Webdriver using Node.js & More!,https://www.udemy.com/course/automation-testing-javascript-webdriverio-selenium-more/,Gianni Bruno,4.3269463,1225,5203,182,17시간
Karate DSL: API Automation and Performance from Zero to Hero,https://www.udemy.com/course/karate-dsl-api-automation-and-performance-from-zero-to-hero/,Artem Bondar,4.624918,1224,5686,45,7시간
Automation with Ansible Playbooks - Hands On !!,https://www.udemy.com/course/automation-with-ansible/,Shikhar Verma • 50k+ Students Worldwide,4.226669,1217,7071,95,9시간
WebDriverIO + Node.js -JavaScript UI Automation from Scratch,https://www.udemy.com/course/webdriverio-tutorial-nodejs-javascript/,Rahul Shetty,4.56113,1212,7263,76,11.5시간
Advanced Selenium WebDriver with Java and TestNG,https://www.udemy.com/course/advanced-selenium-webdriver/,Dmitry Shyshkin,4.468479,1212,7187,52,5시간
Introduction to QA Software Testing  Professionalism,https://www.udemy.com/course/introduction-to-sw-qa-testing-professionalism/,Alik Feld,4.1349883,1186,8993,9,41분
Node.js Unit Testing In-Depth,https://www.udemy.com/course/nodejs-unit-testing-in-depth/,Murtez Alrohani,4.5841312,1177,29494,45,2.5시간
"Selenium WebDriver with Docker, Jenkins & AWS",https://www.udemy.com/course/selenium-webdriver-with-docker/,Vinoth Selvaraj,4.5818753,1165,9465,188,16시간
"Software Testing: WEB, Mobile, API + 12 tools + ISTQB exam",https://www.udemy.com/course/software-testing-web-mobile-api-22-tools-istqb-exam/,Sergei Semenov,3.7078056,1154,3716,32,3.5시간
Robot Framework - Jenkins CI & Git Version Control,https://www.udemy.com/course/robot-framework-jenkins-git/,Bryan Lamb,4.5871344,1151,6476,26,2시간
REST API Testing Automation with Java + PostMan + Framework,https://www.udemy.com/course/api-testing-rest-api-automation-testing-from-scratch/,LevelUp360° DevOps | Google Cloud | Terraform | Kubernetes | Ansible,4.2453427,1070,8616,178,27.5시간
Learn Robot Framework (Selenium) from Industry Expert|22+hr,https://www.udemy.com/course/robot-python/,Testing World Infotech,4.467008,1064,5933,227,30.5시간
End to End automation testing with Cypress,https://www.udemy.com/course/e2e-cypress/,Karthik KK,4.2941647,1054,7048,84,10.5시간
Basic Manual Software Testing +Agile+Bugzilla for beginners,https://www.udemy.com/course/manual-software-testing-course-best-for-beginners/,kiran kumar kuchana,4.2975807,1050,4805,54,9.5시간
"REST Assured API Automation,Allure Reports - An Introduction",https://www.udemy.com/course/rest-api-testing-with-rest-assuredpostman-part1/,Tejasvi Hegde,4.041381,1046,12034,51,4.5시간
Webservices API Testing with Rest Assured API & POSTMAN 2021,https://www.udemy.com/course/webservices-testing-restassured-api-tutorial/,Rahul Arora,4.6319666,1026,6456,187,38시간
WebServices/API Testing by SoapUI & ReadyAPI - Groovy |30+hr,https://www.udemy.com/course/soapui-with-groovy-with-realtime-projects/,Automation World,4.540208,1026,5920,256,31시간
Learn API Automation Testing with Python & BDD Framework,https://www.udemy.com/course/python-sdet-rest-api-automation/,Rahul Shetty,4.676849,989,7780,78,11.5시간
Mockito: Next-Level Java Unit Testing,https://www.udemy.com/course/mockito3/,Adrian Więch,4.6534314,973,4455,28,2시간
Specialize in QA Manual Testing with Live Project+AGILE+JIRA,https://www.udemy.com/course/specialize-in-software-testing-with-real-examples-agile-jira/,Aakriti E-Learning Academy,4.4778366,953,13404,53,10.5시간
Cypress V9 - Automation Testing in Detail (35+ hours) - 2022,https://www.udemy.com/course/cypress-io-master-class/,Gianni Bruno,4.651418,879,4945,325,36시간
Automated  Software Testing with Puppeteer,https://www.udemy.com/course/automated-headless-browser-testing-with-puppeteer/,Kaniel Outis,4.4380436,871,4891,171,13.5시간
REST Assured Fundamentals,https://www.udemy.com/course/rest-assured-fundamentals/,James Willett,4.4160414,864,8699,46,3.5시간
The Expert’s Guide of Selenium with Python | BDD Framework,https://www.udemy.com/course/selenium-with-python/,Automation World,4.421045,852,4035,327,34시간
Manual Software Testing With Bug Reporting Tool JIRA  & ALM,https://www.udemy.com/course/manual-software-testing-with-bugreporting-tool-almqc/,kiran kumar kuchana,4.040594,842,2978,78,12시간
Learn ETL Testing With Informatica PowerCenter Today,https://www.udemy.com/course/etl-testing-for-beginners/,The Startup Central Co.,4.1271057,832,6118,13,2시간
REST Assured API Automation from scratch + Framework + CI,https://www.udemy.com/course/rest-assured-api-automation/,Omprakash Chavan,4.560228,818,5683,244,23시간
Selenium Python - Step by Step for Beginners with Framework,https://www.udemy.com/course/selenium-python-step-by-step-for-beginners/,Raghav Pal,4.29413,811,3621,56,10시간
Beginning Test Driven Development in C++,https://www.udemy.com/course/beginning-test-driven-development-in-c/,Richard Wells,4.316604,807,4667,19,2.5시간
Automated Software Testing with WebdriverIO,https://www.udemy.com/course/automated-software-testing-with-webdriverio/,Kaniel Outis,4.6024218,784,4352,118,10시간
"REST API Automation:REST Assured,Serenity BDD Framework",https://www.udemy.com/course/rest-api-automation-with-rest-assuredserenity-bdd-framework/,Tejasvi Hegde,3.625376,775,5484,39,5.5시간
Web Security and Hacking for Beginners,https://www.udemy.com/course/one-month-web-security/,One Month,4.439119,770,10369,75,5시간
Learn Test Driven Development in Java,https://www.udemy.com/course/learn-test-driven-development-in-java/,Fluent Software Solutions,4.2497683,769,4804,36,3시간
Rest API Automation With Rest Assured - Novice To Ninja,https://www.udemy.com/course/rest-api-automation/,Lets Kode It,4.3289075,767,4012,103,14시간
Appium Mobile Automation - Android & iOS + Frameworks + CICD,https://www.udemy.com/course/the-complete-appium-course-for-ios-and-android/,Omprakash Chavan,4.616622,765,5493,170,41시간
Automated Software Testing with TestCafe,https://www.udemy.com/course/automated-testing-with-testcafe/,Kaniel Outis,4.317837,760,2961,102,9시간
