강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
SAP PI / SAP PO: Interface Development with Standard Adapter,https://www.udemy.com/course/sap-po-interface-development-training-with-standard-adapter/,Srinivas Vanamala,4.5492415,821,4956,100,9시간
Jira Essentials | A complete Jira guide for beginners,https://www.udemy.com/course/jira-essentials/,Masha Ostroumova,4.5061116,810,11156,25,4.5시간
Bash Shell Scripting Tutorial for Beginners,https://www.udemy.com/course/bash-shell-scripting-tutorial-for-beginners/,Yogesh Patel,4.4975553,807,8940,87,10시간
Git & Github Master Course(2022),https://www.udemy.com/course/git-github-master-course/,Mohit Uniyal,4.6548347,792,8986,98,11시간
Computer Science 101 - Computers & Programming for Beginners,https://www.udemy.com/course/computer-science-101-computers-programming-for-beginners/,Timothy Meixner,4.3773446,774,2541,36,1시간
Docker for beginners,https://www.udemy.com/course/docker-for-beginners/,Samarth Deyagond,3.9553297,774,18993,16,1.5시간
Mastering Wireshark 2,https://www.udemy.com/course/mastering-wireshark-2/,Packt Publishing,4.4187136,705,4956,46,5.5시간
Oracle Fusion Technical-Business Intelligence & OTBI Reports,https://www.udemy.com/course/oracle-fusion-technical-bi-publisher-reports/,Ravinder Reddy Guduru,4.099033,703,4189,75,19시간
Getting started with DevOps using Azure DevOps & Docker,https://www.udemy.com/course/devops-using-vsts-docker-azure/,Houssem Dellai,4.130978,688,54970,25,1시간
Vagrant Up! Comprehensive development system automation,https://www.udemy.com/course/vagrant-up/,Jason Taylor,4.4483876,681,6035,46,4.5시간
Docker Container Fundamentals (Hands-on) - DevOps,https://www.udemy.com/course/docker-containers-for-beginners-ganesh-velrajan/,Ganesh Velrajan,4.2899575,656,17404,17,2시간
Build a full-stack application in minutes with Node-RED,https://www.udemy.com/course/node-red-1/,Leo Academy,4.049687,653,12614,6,1.5시간
Mastering SharePoint 2019,https://www.udemy.com/course/mastering-sharepoint-2019/,Packt Publishing,4.396352,650,3427,36,4시간
The Complete Introduction to OpenFOAM,https://www.udemy.com/course/the-complete-introduction-to-openfoam-with-solid-mechanics/,Philip Baldock,4.4161777,636,2743,100,8시간
Azure MasterClass: Manage Azure Cloud with ARM Templates,https://www.udemy.com/course/azure-masterclass-manage-azure-cloud-with-arm-templates/,TetraNoodle Team,3.4451077,625,3503,42,3.5시간
Learn Jenkins from a DevOps Guru,https://www.udemy.com/course/jenkins-devops-pipeline-as-code/,DevOps Training,3.2701309,621,8814,66,4시간
GitLab,https://www.udemy.com/course/gitlab-course/,Learn Tech Plus,3.8622396,610,108501,66,2.5시간
AWS CodePipeline Step by Step,https://www.udemy.com/course/aws-codepipeline-step-by-step/,Emre Yilmaz • AWS Certified DevOps Engineer • Solutions Architect,4.585623,568,4151,50,6.5시간
The Complete Apache Kafka Practical Guide,https://www.udemy.com/course/apache_kafka/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.663543,564,13717,135,8.5시간
PCB Design a Tiny Arduino In Altium CircuitMaker,https://www.udemy.com/course/pcb-design-a-tiny-arduino-in-altium-circuitmaker/,Augmented Startups,4.294956,560,13246,16,2시간
Salesforce Development With Real-Time Project,https://www.udemy.com/course/salesforce-developer-training-with-real-time-project/,Deepika Khanna,4.512379,539,3816,62,6시간
"Git Going with Comparing, Branching and Merging",https://www.udemy.com/course/git-compare-branch-merge-rebase/,Jason Taylor,4.600246,523,4521,37,2.5시간
SAP Smart Forms for beginners,https://www.udemy.com/course/sap-smart-forms-training-for-all-sap-consultant/,Smart Logic Academy,4.26261,514,4811,34,4.5시간
Learn DevOps: On-Prem or Cloud Agnostic Kubernetes,https://www.udemy.com/course/learn-devops-on-prem-or-cloud-agnostic-kubernetes/,Edward Viaene,4.287679,500,6439,38,4시간
Introduction to Microservices,https://www.udemy.com/course/introduction-to-microservices-edyoda/,EdYoda Digital University,3.9153893,500,65830,9,1시간
Practical Git: for Absolute Beginners,https://www.udemy.com/course/practical-git-for-absolute-beginners/,Dmytro Khmelenko,4.4425774,492,46754,30,1.5시간
Introduction to Docker,https://www.udemy.com/course/introduction-to-docker/,Stone River eLearning,3.0161593,480,11335,25,2시간
Digital Signal Processing (DSP) From Ground Up™ with MATLAB,https://www.udemy.com/course/matlab_dsp/,Israel Gbati,4.0991106,469,2708,91,5시간
VSD - Circuit Design & SPICE Simulations - Part 1,https://www.udemy.com/course/vlsi-academy-circuit-design/,Kunal Ghosh,4.29281,468,3297,30,4시간
"Rocking AWS CloudFormation, CDK with DevOps, Interview Guide",https://www.udemy.com/course/rocking-aws-cloudformation-cdk-with-devops-interview-guide/,Rajdeep Saha | Cloud Architect @Fortune10 Company,4.6224694,462,4736,104,10시간
Android Studio Masterclass: Conquer the Android IDE,https://www.udemy.com/course/android-studio-masterclass/,Kurt Anderson,4.494538,461,2325,52,3.5시간
QlikView Server and Publisher,https://www.udemy.com/course/qlikview-server-and-publisher/,Vertechs .IO,4.6648965,458,1850,64,9시간
Learning Path: Powershell: Getting Started with Powershell 6,https://www.udemy.com/course/learning-path-powershell-getting-started-with-powershell-6/,Packt Publishing,4.228925,445,3080,55,6시간
From 0 to 1: The Oozie Orchestration Framework,https://www.udemy.com/course/from-0-to-1-the-oozie-orchestration-framework/,Loony Corn,4.4730935,444,4524,24,4시간
Alteryx Designer Core Certification + Practice Tests-9 Hours,https://www.udemy.com/course/alteryx-designer-core-certification-prep/,Step2C Education,4.103624,436,1893,170,10.5시간
RF Microwave & Transmission Line Theory - RAHRF200,https://www.udemy.com/course/rf-microwave-radio-transmission-theory-online-course-rahsoft-rahch200/,"Rahsoft RF Certificate - Orange County, California",4.333899,432,4210,46,8시간
Become an Azure DevOps Hero,https://www.udemy.com/course/azure-devops/,Jamie Mack,3.3403797,432,2076,23,2시간
Git for Windows: Step-By-Step Mastery using Commands and GUI,https://www.udemy.com/course/git-for-windows/,Jason Taylor,4.2167234,425,9557,129,8시간
Mastering Hyperledger Chaincode Development using GoLang,https://www.udemy.com/course/golang-chaincode-development/,Rajeev Sakhuja,3.9843922,425,3105,118,10시간
Continuous Delivery on Amazon Web Services (April 2017),https://www.udemy.com/course/continuous-delivery-on-aws/,Mahmoud Matouk,4.7370143,425,3056,31,4시간
Visual Studio Code Tutorial - Getting Started With VS Code,https://www.udemy.com/course/visual-studio-code-tutorial/,Todd McLeod,4.2066154,402,20474,60,4.5시간
OpenShift Developers Workshop,https://www.udemy.com/course/openshift-developers-workshop/,Mohamad Charaf,4.421261,400,1764,26,2시간
The Git and GitHub Crash Course,https://www.udemy.com/course/git-github-crash-course/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.736013,398,24672,28,1.5시간
The Practical Linux Guide for Beginners,https://www.udemy.com/course/linux-complete/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.613418,396,20514,63,6시간
Building Internet of Things Projects with Arduino IOT Cloud,https://www.udemy.com/course/arduino-iot-cloud/,Lee Assam,4.3114934,389,3247,58,5시간
TeamCity: continuous integration & DevOps with Java and .NET,https://www.udemy.com/course/teamcity-learn-continuous-integration-jetbrains-teamcity-tutorial/,TetraNoodle Team,3.1316783,386,2728,38,2.5시간
DevOps: Automate your infrastructure using Ansible and IaC,https://www.udemy.com/course/automate-your-infrastructure-using-ansible-and-iac/,TetraNoodle Team,4.214119,376,2500,50,5.5시간
Docker: The Complete Practical Guide,https://www.udemy.com/course/docker-complete/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.6067843,376,16917,198,18.5시간
Learn To Code Like a Pro With VI Editor,https://www.udemy.com/course/learn-to-code-like-a-pro-with-vi-editor/,Eduonix Learning Solutions,4.056511,375,7942,22,4시간
An Introduction to DataDog for Developers,https://www.udemy.com/course/datadog-for-devops/,Vaga Notes,3.8479486,365,2902,34,2.5시간
Gitting Started: Step-by-Step Git and Github Crash Course,https://www.udemy.com/course/learn-git-and-github-in-2-hours/,Abhin Chhabra,4.662643,361,41896,38,2.5시간
Hibernate quick practical guide (with Java) basics,https://www.udemy.com/course/hibernate-with-java/,Chaand Sheikh,3.9952972,359,5869,26,2시간
Learn DevOps with Jenkins All in One Guide,https://www.udemy.com/course/learn-devops-with-jenkins-all-in-one-guide/,Eduonix Learning Solutions,4.076742,351,19514,33,4.5시간
Bluebeam in 3 Hours,https://www.udemy.com/course/bluebeam-in-3-hours/,Packt Publishing,3.9150805,350,1211,37,2.5시간
Vim for Ruby Developers,https://www.udemy.com/course/vim-training-course-ruby-developers/,Jordan Hudgens,4.5111203,335,2127,49,3.5시간
Qt 5 C++ GUI Development - Intermediate,https://www.udemy.com/course/qt-c-gui-development-intermediate/,Daniel Gakwaya,4.5286813,332,2953,149,40시간
AWS CodeCommit CodeBuild CodeDeploy CodePipeline | Hands On,https://www.udemy.com/course/aws-codecommit-codebuild-codedeploy-codepipeline-hands-on/,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms",4.34549,329,5247,32,3.5시간
SAP CPI for beginners with hands-on,https://www.udemy.com/course/sap-cpi-for-beginners-with-hands-on/,Vishal Saxena,4.1129766,329,1731,33,13시간
Complete Guide to Creating COCO Datasets,https://www.udemy.com/course/creating-coco-datasets/,Adam Kelly Immersive Limit,4.4810624,328,824,53,4시간
DevOps using Kubernetes and Docker  (Hands-on),https://www.udemy.com/course/kubernetes-for-beginners-ganesh-velrajan/,Ganesh Velrajan,4.3440614,327,3565,33,2.5시간
The Complete VMware Horizon 7: Beginner to Advanced: 3-in-1,https://www.udemy.com/course/the-complete-vmware-horizon-7-beginner-to-advanced-3-in-1/,Packt Publishing,4.173091,324,1778,156,20.5시간
Ansible Essentials with Hands-on Labs,https://www.udemy.com/course/ansible-essentials/,Ugur Oktay,4.759346,324,3265,58,6.5시간
Designing and Building Custom Apps using Dynamics 365,https://www.udemy.com/course/designing-and-building-custom-apps-using-dynamics-365/,Packt Publishing,4.6478896,320,2370,74,10시간
"DevOps Catalog, Patterns, And Blueprints",https://www.udemy.com/course/devops-catalog/,Viktor Farcic,4.5479574,320,3943,121,13시간
Introduction To Alteryx Designer Core Profession Certificate,https://www.udemy.com/course/introduction-to-alteryx-designer/,Step2C Education,4.19971,319,4813,9,44분
Introduction to using Git,https://www.udemy.com/course/git-course/,Laurence Svekis,4.245812,317,19244,34,2시간
"Infrastructure as Code, Master AWS Cloud Development Kit CDK",https://www.udemy.com/course/aws-cdk-course/,Icaro Lavrador,4.3118777,317,3022,53,4시간
Programming Internet of Things - Beginning to Advanced Level,https://www.udemy.com/course/programming-internet-of-things-beginning-to-advance-level/,- SchoolSteps,4.489868,317,3299,68,7시간
Data integration (ETL) with Talend Open Studio,https://www.udemy.com/course/data-integration-with-talend-open-studio/,Andrejs Zaharovs,4.830852,316,1079,52,8.5시간
Mastering Salesforce Integration: Novice to Professional,https://www.udemy.com/course/salesforce-integration-a-complete-guide/,Amit Singh,4.467212,312,3544,146,22.5시간
Git Github Gitkraken: Version Control without Command Line,https://www.udemy.com/course/git-github-gitkraken-version-control-without-command-line/,Peter Gunardi,4.275132,307,4978,35,2.5시간
IBM App Connect Enterprise & IBM Integration Bus & Broker,https://www.udemy.com/course/ibm-app-connect-enterprise-v11/,Carlos Medger,3.9490592,305,1694,31,4시간
Yarn Dependency Management: The Complete Guide,https://www.udemy.com/course/yarn-dependency-management/,Ray Viljoen,4.511078,303,4951,22,1.5시간
DevOps CI CD with Jenkins,https://www.udemy.com/course/devops-ci-cd-with-jenkins/,Ajay Srinivasa,3.638544,301,2926,32,2.5시간
Docker Kubernetes MasterClass : Hands-On DevOps from Scratch,https://www.udemy.com/course/kubernetes-online-training/,LevelUp360° DevOps | Google Cloud | Terraform | Kubernetes | Ansible,4.6311803,297,2811,166,25.5시간
"ODOO Technical Training - v7, v8-11",https://www.udemy.com/course/odoo-technical/,Jay Vora,3.7067773,294,1717,37,19시간
The WordPress Bootcamp: Build 11 Websites with WordPress,https://www.udemy.com/course/the-wordpress-bootcamp/,VideoLab by Jad Khalili,4.1092453,294,2431,257,26시간
Apache Spark with Databricks,https://www.udemy.com/course/azure-databricks-apache-spark/,Big Data Trunk,2.8457983,289,1150,34,3시간
Azure MasterClass: Analyze Data With Azure Stream Analytics,https://www.udemy.com/course/azure-masterclass-analyze-data-with-azure-stream-analytics-azure-asa/,TetraNoodle Team,3.8212016,286,3445,41,3.5시간
Hands-On Auto DevOps with GitLab CI,https://www.udemy.com/course/hands-on-auto-devops-with-gitlab-ci/,Packt Publishing,3.4926558,284,2394,27,3.5시간
Gitlab / GitLab CI For Beginners: Become a DevOps Expert Now,https://www.udemy.com/course/gitlab-for-beginners/,The Startup Central Co.,3.4731221,283,1518,25,2.5시간
Hands-on Chatbots with Google Dialogflow,https://www.udemy.com/course/hands-on-chatbots-with-google-dialogflow/,Loony Corn,4.5294824,282,2323,35,4시간
50 Informatica Interview Scenarios - Solved,https://www.udemy.com/course/informatica-interview-scenarios-solved/,Saif Shaikh,4.3980803,280,1553,50,7시간
An Absolute Beginner's Guide To Linux!,https://www.udemy.com/course/a-beginners-guide-to-linux-system-administration/,Ahmed Tabana,4.4598403,278,10063,21,2.5시간
