강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Embedded Systems Job Interview 101,https://www.udemy.com/course/embedded-systems-job-interview-101/,Smart Embedded Choice,4.453723,311,1433,17,2시간
Arduino: Make an IoT environment monitor,https://www.udemy.com/course/beginning-arduino/,Dr. Peter Dalmaris,4.6943393,308,7776,31,5시간
Adobe Captivate 2019 course for beginners || GET CERTIFICATE,https://www.udemy.com/course/adobe-captivate-2019-course-for-beginners-get-certificate/,Easy Learning Academy,4.5226617,306,1213,27,2시간
Beyond Arduino: Electronics for Developers & Makers - (GPIO),https://www.udemy.com/course/beyond-arduino-gpio/,Eduardo Corpeño,4.5929317,299,3729,109,6시간
CNC Lathe programming using G Code,https://www.udemy.com/course/cnc-lathe-programming-using-g-code/,Marc Cronin,4.323259,296,1678,17,1.5시간
DSP From Ground Up™  on ARM Processors,https://www.udemy.com/course/arm-cortex-dsp/,Israel Gbati,4.2583804,291,3037,173,12시간
Master the Concepts of Digital Circuit Design,https://www.udemy.com/course/master-the-concepts-of-digital-circuit-design/,Jordan Christman,3.908296,288,2373,57,6.5시간
IoT Automation with Raspberry Pi,https://www.udemy.com/course/iot-internet-of-things-automation-using-raspberry-pi/,EDU CBA,3.3472784,282,28142,91,11.5시간
Basics of Embedded C Programming for Beginners,https://www.udemy.com/course/embedded-c-programming-for-embedded-systems/,Smart Logic Academy,4.303243,277,6797,24,2시간
CNC Milling machine programming using G-Code,https://www.udemy.com/course/cnc-milling-machine-programming-using-g-code/,Marc Cronin,4.6694226,272,1574,16,1.5시간
Altium Designer 16 - Basics (Arduino FIO),https://www.udemy.com/course/altiumdesignerbasics/,Eu Jin Ooi,4.270824,271,1238,29,5시간
Introduction to VHDL,https://www.udemy.com/course/introduction-to-vhdl/,Jordan Christman,3.8902466,266,1394,54,6시간
Microsoldering: Everything You Need to Know to Get Started,https://www.udemy.com/course/microsoldering-the-full-curriculum/,~ Tom ~,4.4387846,264,711,71,5시간
Cognex In-Sight Machine Vision Industrial Development SCADA,https://www.udemy.com/course/cognex-in-sight-machine-vision-industrial-development-scada/,Vladimir Romanov,4.539689,259,1173,28,3.5시간
IoT Internet of Things Crash Course,https://www.udemy.com/course/internet-of-things-esp-esp32-nodemcu-node-esp8266-iot/,Educational Engineering Team,3.9765232,259,30701,17,2시간
IoT Automation with ESP8266,https://www.udemy.com/course/iot-internet-of-things-automation-with-esp8266/,EDU CBA,3.1444182,257,32069,52,6.5시간
The Complete PLC Programming Bootcamp,https://www.udemy.com/course/plc-programming-bootcamp-plc-delta-siemens-plcmitsubishi-s/,Educational Engineering Team,3.439024,256,18515,63,5.5시간
All about Arduino Wireless and the IoT,https://www.udemy.com/course/all-about-arduino-wireless/,Stephen Borsay,4.7278266,253,2849,49,6시간
PCB Design for everyone with EasyEDA a free and online tool,https://www.udemy.com/course/pcb-design/,Amit Rana,4.3824234,253,2436,19,3시간
