강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
PostgreSQL v12  Database Administration on Windows and Linux,https://www.udemy.com/course/postgresql-v12-database-administration-on-windows-and-linux/,Sadiq Basha,4.449402,1497,6474,73,11.5시간
Microsoft SQL Server for Beginners | Crash Course,https://www.udemy.com/course/basic-concepts-of-databases-and-writing-query-in-sql-server/,Yasir Mehmood,4.2351227,1444,150992,15,2.5시간
Mainframe: Code DB2 on COBOL Programs for Absolute Beginners,https://www.udemy.com/course/complete-db2-on-cobol-mainframe/,Sandeep Kumar,4.5149083,1399,5412,45,5.5시간
SQL Server Essentials in an hour: The SELECT statement,https://www.udemy.com/course/sql-server-essentials-in-an-hour-the-select-statement/,Phillip Burton,4.548067,1364,4061,15,1시간
"SQL Server Analysis Services - SSAS, Data Mining & Analytics",https://www.udemy.com/course/ssas-sql-server-analysis-services-2016-mdx-training/,Siddharth Mehta,4.044028,1255,7936,78,8시간
Microsoft SQL Server Development for Everyone,https://www.udemy.com/course/microsoft-sql-server-2017-for-everyone/,Trevoir Williams,4.50832,1232,127730,32,6시간
The Complete Python/PostgreSQL Course 2.0,https://www.udemy.com/course/complete-python-postgresql-database-course/,Codestars by Rob Percival,4.5575423,1214,9344,153,13.5시간
Become a Hadoop Developer |Training|Tutorial ,https://www.udemy.com/course/hadoop-tutorial/,Nitesh Jain,4.1758075,1176,16767,49,5시간
NoSQL: Neo4j and Cypher (Part: 1-Beginners),https://www.udemy.com/course/neo4j_beginners1/,Bruce E. Hilton,4.402484,1171,5345,26,2시간
Complete MongoDB Administration Guide,https://www.udemy.com/course/mongodb-essentials-m/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.7180066,1124,12620,225,10.5시간
Learn MongoDB - Leading NoSQL Database from scratch,https://www.udemy.com/course/learn-mongodb-leading-nosql-database-from-scratch/,Sunil Kumar Gupta,4.0588255,1117,8285,158,17시간
MySQL Database Development Mastery,https://www.udemy.com/course/mysql-database-development-mastery/,Trevoir Williams,4.3401494,1113,143473,26,4.5시간
AWS Data Architect Bootcamp - 43 Services 500 FAQs 20+ Tools,https://www.udemy.com/course/aws-data-architect-bootcamp-training/,Siddharth Mehta,4.558377,1008,12131,295,30.5시간
SQL Beginner to Guru: MySQL Edition - Master SQL with MySQL,https://www.udemy.com/course/sql-beginner-to-guru-mysql-edition/,"John Thompson • 385,000+ Enrollments Worldwide",4.3150544,970,19518,168,11.5시간
Talend Data Integration Course : Beginner to Expert,https://www.udemy.com/course/talend-data-integration-course-beginner-to-expert/,Kapil Chaitanya Kasarapu,4.3497696,959,6196,270,15시간
SQL Server Performance Tuning Part 2,https://www.udemy.com/course/sql-server-performance-tuning-part-2/,Raphael Asghar,4.5084124,954,6843,41,7.5시간
Oracle Analytic Functions In-Depth & Advanced Oracle SQL,https://www.udemy.com/course/oracle-analytic-functions-in-depth/,Khaled Alkhudari,4.7503443,910,6050,85,9.5시간
"SQL Server Essentials, from Scratch",https://www.udemy.com/course/sql-server-essentials/,Joey Blue,4.3882523,896,4162,56,13.5시간
SQL Tutorial for Beginners - Learn SQL using 30 scenarios,https://www.udemy.com/course/sql-tutorial-for-beginners-learn-sql-using-30-scenarios/,Valuetech Academy,3.636007,877,28353,34,2.5시간
Learning Oracle Application Express ( Oracle Apex ) Training,https://www.udemy.com/course/oracle-application-express-oracle-apex-training/,Infinite Skills,3.8728518,873,3585,60,5.5시간
SQL Server High Availability and Disaster Recovery (HA/DR),https://www.udemy.com/course/sqlserverhadrdeepdive/,Edwin M Sarmiento,4.6293263,851,6169,32,13시간
Learn SSRS SQL Reporting & Business Intelligence Essentials,https://www.udemy.com/course/exploring-ssrs-creating-great-reports/,William Belisle,4.70984,848,5775,33,3.5시간
"PostgreSQL Bootcamp : Go From Beginner to Advanced, 60+hours",https://www.udemy.com/course/postgresqlmasterclass/,Adnan Waheed,4.4360824,833,7371,627,67.5시간
Using MySQL Databases With Python,https://www.udemy.com/course/using-mysql-databases-with-python/,John Elder,4.680982,827,8373,25,2시간
Stored Procedures Unpacked: Learn to Code T-SQL Stored Procs,https://www.udemy.com/course/stored-procedures-unpacked-learn-to-code-t-sql-stored-procs/,Kris Wenzel,4.329753,757,3749,39,3.5시간
SQL Server Administration: (SQL Server Integration Services),https://www.udemy.com/course/sql-server-administration-sql-server-integration-services/,Raphael Asghar,4.666525,734,4475,29,5.5시간
Mastering SQL Server Reporting Services (SSRS) From Scratch,https://www.udemy.com/course/ssrs2017/,Kameswara Sarma Uppuluri,4.5551353,730,3855,79,9시간
Data Warehouse Developer-SQL Server/ETL/SSIS/SSAS/SSRS/T-SQL,https://www.udemy.com/course/data-warehouse-developer-sql-serveretlssisssasssrst-sql/,Bluelime Learning Solutions,4.283929,729,20840,83,8시간
Learn Data Warehousing From Scratch- From Solution Architect,https://www.udemy.com/course/learn-data-warehousing-from-solution-architect/,Asif Raza,4.2146816,726,3939,33,2시간
Learn by Example : HBase - The Hadoop Database,https://www.udemy.com/course/learn-by-example-hbase/,Loony Corn,4.318948,696,6481,43,5시간
Microsoft Access SQL: SQL for Non-Programmers,https://www.udemy.com/course/learn-access-sql-from-scratch/,IsáBel .,4.62197,687,6437,87,4시간
Learn Advanced T-SQL For SQL Server Administrator,https://www.udemy.com/course/learn-advanced-t-sql-for-sql-server-administrator/,Raphael Asghar,4.463873,671,4518,34,5.5시간
SQL Server Reporting Services Part 2 (SSRS),https://www.udemy.com/course/sql-server-reporting-services-part-2-ssrs/,Raphael Asghar,4.2750864,665,5786,35,6.5시간
Teradata Fundamentals - Comprehensive SQL course on Teradata,https://www.udemy.com/course/teradata-sql-beginners-guide/,Saad Qureshi,4.5089145,652,2761,68,8.5시간
Microsoft SQL Server 2012 Certification Training Exam 70-462,https://www.udemy.com/course/microsoft-sql-server-2012-certification-training-exam-70-462/,Infinite Skills,4.532287,636,6561,109,12시간
"SQL - The Complete Developer's Guide (MySQL, PostgreSQL)",https://www.udemy.com/course/sql-the-complete-developers-guide-mysql-postgresql/,Academind by Maximilian Schwarzmüller,4.699082,632,6897,220,19.5시간
Learning Path: Modern DevOps,https://www.udemy.com/course/modern-devops/,Packt Publishing,4.177276,629,5134,109,15시간
Sachin Quickly Learns (SQL) - Structured Query Language,https://www.udemy.com/course/sachin-quickly-learns-sql/,Kotaa Krishna Kamath,4.206233,626,23108,13,1.5시간
PostgreSQL High Performance Tuning Guide,https://www.udemy.com/course/postgresql-high-performance-tuning-guide/,Lucian Oprea,4.3664966,616,3673,51,2.5시간
Learn SQL with Microsoft SQL Server,https://www.udemy.com/course/learn-sql-with-microsoft-sql-server/,John Elder,4.7255287,610,4678,35,2시간
Introduction to Azure SQL Database for Beginners,https://www.udemy.com/course/introduction-to-azure-sql-database/,Artemakis Artemiou,4.321148,607,3078,53,8시간
Complete Filemaker Invoice database,https://www.udemy.com/course/complete-filemaker-invoice-database/,Guy Stevens,4.3400006,602,2376,28,5시간
Understanding CouchDB 3: Learn Basic & Advanced NoSQL Skills,https://www.udemy.com/course/understanding-couchdb/,Gregory (Mad Pink) Miller,4.574973,599,3971,53,7시간
The SQL MicroDegree 2021: From SQL Basics To MySQL Mastery,https://www.udemy.com/course/sqlmicrodegree/,Abhishek Pughazh,4.512342,580,37858,86,4.5시간
Practice advanced SQL queries with MySQL 5.7+,https://www.udemy.com/course/practice-advanced-sql-with-mysql/,Michal Juhas,3.967181,559,5228,79,5시간
ETL Framework for Data Warehouse Environments,https://www.udemy.com/course/etl-framework-for-data-warehouse-environments/,Sid Inf,4.238374,550,3681,76,6.5시간
NoSQL: Neo4j and Cypher (Part: 2-Intermediate),https://www.udemy.com/course/neo4j_intermediate/,Bruce E. Hilton,4.3389063,549,3375,26,2.5시간
Basics of Database Design & Development,https://www.udemy.com/course/database-design-development/,Creative Online School,3.9572132,547,124768,32,3시간
Microsoft Azure Data Lake Storage Service (Gen1 & Gen2),https://www.udemy.com/course/microsoft-azure-data-lake/,"Eshant Garg | AWS Certified Cloud Practitioner | LearnCloud.Info | 100,000+ Enrollments",4.70443,517,7503,63,6.5시간
Learn Oracle 12c SQL : Kickstart kit for beginners,https://www.udemy.com/course/learn-sql-from-scratch-x/,Cheena S,4.51148,514,2331,31,4시간
MongoDB 3.2: Professional Developer,https://www.udemy.com/course/mongodb-professional-developer/,Hubert Łyczek,4.5409603,510,3353,132,16시간
Database Management Systems Part 3 : SQL Interview Course,https://www.udemy.com/course/sql-interview-preparation-course/,Vignesh Sekar,4.683668,485,2306,53,10시간
Master Data Management,https://www.udemy.com/course/master-data-management/,The Art Of Service,3.3780699,484,2084,57,3시간
The Complete SQL Server For Beginners,https://www.udemy.com/course/the-complete-sql-server-for-developers/,Ahmad Mohey,4.182872,476,2191,137,9시간
LEARNING PATH: Azure: Explore Azure Functions and Logic Apps,https://www.udemy.com/course/learning-path-azure-explore-azure-functions-and-logic-apps/,Packt Publishing,4.194908,475,3645,47,6시간
SQL Made Simple: SQL Server Queries for Non-Programmers,https://www.udemy.com/course/learn-sql/,IsáBel .,4.5994763,473,4055,120,3.5시간
Big Data and Hadoop for Absolute Beginners,https://www.udemy.com/course/learn-hadoop-step-by-step-from-scratch/,IT Skills In Demand,4.2294655,463,6750,51,4시간
SQL for Newcomers - The Full Mastery Course,https://www.udemy.com/course/sql-for-newcomers/,Sameh Sharaf,4.625361,462,12025,124,11시간
Oracle Performance Tuning,https://www.udemy.com/course/oracle-performance-tuning/,Amit Arora,2.9302106,458,2528,19,3시간
Professional Azure SQL Database Administration,https://www.udemy.com/course/professional-azure-sql-database-administration/,Packt Publishing,4.2834487,452,1775,66,5시간
Database Management Systems - MySQL,https://www.udemy.com/course/database-management-systems-mysql/,DATAhill Solutions Srinivas Reddy,4.5036774,450,14173,6,4시간
DB2 For Beginners,https://www.udemy.com/course/db2-for-beginners/,Bluelime Learning Solutions,4.348044,446,3051,27,2시간
Introduction to Apache Solr,https://www.udemy.com/course/learn-apache-solr-8/,Lucian Oprea,4.3510838,433,1476,44,2.5시간
MS SQL Server With Real World Db Design Techniques,https://www.udemy.com/course/learn-ms-sql-server-from-scratch/,Manzoor Ahmed,4.515765,427,10591,43,10.5시간
SQL Database MasterClass: Go From Pupil To Master!,https://www.udemy.com/course/sql-for-people-who-dont-know-sql-at-all-a-beginners-guide/,Rico Rodriguez,3.3876595,413,14270,49,6시간
Learn Apache Cassandra from Scratch,https://www.udemy.com/course/learn-apache-cassandra-from-scracth/,Eduonix Learning Solutions,4.296014,411,4400,25,4시간
A Beginners Guide To SQL. Master SQL Quickly,https://www.udemy.com/course/beginners-guide-to-sql-master-sql-quickly/,Infinite Skills,4.4472947,409,1615,34,3.5시간
PostgreSQL Database Administration (DBA) for Beginners,https://www.udemy.com/course/postgresql-database-administration-dba-for-beginners/,Bluelime Learning Solutions,4.0540433,406,5439,111,11시간
Learning Path: The Roadway to IBM Cognos Analytics,https://www.udemy.com/course/learning-path-the-roadway-to-ibm-cognos-analytics/,Packt Publishing,3.700386,405,1782,49,6시간
Learning Oracle 12c - A Beginners Oracle Training Video,https://www.udemy.com/course/oracle-12c/,Infinite Skills,4.3015566,398,2018,102,11시간
T-SQL Training with Real World Scenarios:Tricks of the Trade,https://www.udemy.com/course/t-sql-training/,Vikas Munjal,4.772857,389,2111,43,6시간
Complete SQL Guide,https://www.udemy.com/course/complete-sql-guide/,Diptam Paul,4.0935197,389,26945,43,3시간
SQL Server Migration and Upgrade Process,https://www.udemy.com/course/sql-server-migration-and-upgrade-process/,Raphael Asghar,4.72447,387,2633,35,7시간
Redis Bootcamp for Beginners: Get Hands On with Redis.,https://www.udemy.com/course/redis-bootcamp-for-beginners/,Diwakar Singh,4.691784,387,3578,88,11시간
Mastering SQL Server 2016 Integration Services (SSIS)-Part 2,https://www.udemy.com/course/masteringssis2016part2/,Kameswara Sarma Uppuluri,4.424488,386,3530,87,13시간
Learn SQL for Beginners - How To Learn SQL The Easy Way,https://www.udemy.com/course/learn-sql-for-beginners/,Todd McLeod,4.421587,385,27838,203,17.5시간
Azure LOG ANALYTICS Inside-Out,https://www.udemy.com/course/azure-log-analytics/,Sumesh P,4.4476194,384,2644,102,5시간
Learning VMware vRealize Operations Manager,https://www.udemy.com/course/learning-vmware-vrealize-operations-manager/,Packt Publishing,3.2482092,377,2146,33,3시간
MySQL Database Training for Beginners,https://www.udemy.com/course/mysql-database-training-course/,Simon Sez IT,4.057542,376,6267,41,5.5시간
