강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Linux A-Z™ | Uygulamalarla Sıfırdan Linux Eğitimi,https://www.udemy.com/course/linux-egitimi/,Boğaziçi Üniversitesi Siber Güvenlik Merkezi Topluluğu,4.7028575,680,2782,91,10시간
Curso de virtualización con Hyper-V en Windows Server,https://www.udemy.com/course/virtualizacion-con-hyper-v-en-windows-server-2016/,Jair Gomez,4.4143305,631,2966,95,10.5시간
Windows Server 2016 - Praktyczny przewodnik i konfiguracja,https://www.udemy.com/course/windows-server-2016-praktyczny-przewodnik-i-konfiguracja/,Marious Kuriata,4.702207,631,2591,59,6시간
Apple Mac (macOS) verstehen und produktiv nutzen,https://www.udemy.com/course/apple-mac-macos-verstehen-und-produktiv-nutzen/,Valentin Möller,4.5699534,630,2197,53,6시간
Linux - linia komend dla początkujących...,https://www.udemy.com/course/linux101/,Rafał Mobilo,4.810627,623,3382,104,9시간
Administrator Windows Server i Linux,https://www.udemy.com/course/administrator-windows-server-i-linux/,Wojciech Kowalski,4.547715,605,4966,254,85시간
Adım Adım Uygulamalı Microsoft Active Directory Eğitimi,https://www.udemy.com/course/active-directory-egitimi/,Ahmet Sait Duran,4.88376,604,2375,109,16시간
Passo a Passo com Elastix PBX: Seu PBX IP na Prática,https://www.udemy.com/course/passo-a-passo-com-elastix-pbx-seu-pbx-ip-na-pratica/,Hamilton Oliveira Batista,4.71189,587,1782,107,9.5시간
Shell Script: Do Básico ao Profissional,https://www.udemy.com/course/shell-script-do-basico-ao-profissional/,Mateus Müller,4.664729,578,2711,57,5시간
Android Completo: Aprende Creando Apps,https://www.udemy.com/course/curso-completo-de-android-aprende-creando-apps/,Jesus Almaral (Hackaprende),4.561874,573,2327,128,8시간
Curso de Linux Mint 19.3,https://www.udemy.com/course/curso-de-linux-mint-19/,Ednaldo Mendes de Araújo,4.600512,571,11809,49,5시간
Administração de Servidores Linux com Red Hat 8 / CentOS 8,https://www.udemy.com/course/administracao-servidores-linux-8-com-red-hat/,Denilson Bonatti,4.84897,565,2901,51,6시간
Infraestrutura de TI com Samba4 + AD + Pfsense + File Server,https://www.udemy.com/course/infraestrutura-de-ti-com-samba4-ad-pfsense-file-server/,Ednaldo Mendes de Araújo,4.2042427,559,2583,133,16시간
Curso completo de Windows 10 (desde cero),https://www.udemy.com/course/curso-de-windows-10/,David Gutiérrez,4.34537,558,1475,50,6.5시간
"AD DS, DNS y DHCP Completo de cero a experto!!",https://www.udemy.com/course/ad-ds-dns-y-dhcp-completo-de-cero-a-experto/,Carlos Melantuche,4.3438053,557,17318,71,12시간
Virtualizando com Citrix XenServer,https://www.udemy.com/course/xenserver/,Cleriston Cardoso Cabral,4.4339685,543,1846,156,9시간
"Git de principiante a experto, GitHub, GitLab, Azure, Commit",https://www.udemy.com/course/aprende-git-de-principiante-a-experto-github-y-gitlab/,Yonier Manuel Asprilla Gómez,4.62539,539,11298,93,6시간
Curso de Informática Básica,https://www.udemy.com/course/curso-de-informatica-basica/,Tiago Maciel,4.4811506,536,1468,5,2시간
"Linuxサーバー構築入門（LinuCレベル１, LPI-Japan認定教材）",https://www.udemy.com/course/linuc_level1/,井上 博樹 (Hiroki Inoue),4.076691,531,3443,118,7.5시간
Curso Completo de Windows 10,https://www.udemy.com/course/curso-completo-de-windows-10/,Julio Fuentes,4.505153,512,26647,98,15시간
Active Directory - Do Zero ao Avançado,https://www.udemy.com/course/active-directory-do-zero-ao-avancado/,Eduardo Damas,4.7567444,507,1889,79,8시간
Active Directory e Políticas de Grupo no Windows Server 2019,https://www.udemy.com/course/active-directory-e-politicas-de-grupo-no-windows-server-2019/,Denilson Bonatti,4.666508,504,2463,63,7.5시간
Instalación y Configuración de Windows Server 2012 R2.,https://www.udemy.com/course/introduccion-a-la-administracion-de-windows-server-2012/,OpenLearning España,4.628771,500,1530,51,7시간
Active Directory - Windows Server 2019,https://www.udemy.com/course/active-directory-windows-server-2019/,Paolo Mantovani,4.5675397,499,1566,55,8시간
Geoprocessamento e QGIS aplicados na agricultura de precisão,https://www.udemy.com/course/geoprocessamento-e-qgis-aplicados-na-agricultura-de-precisao/,Fabio Barros,4.576862,497,1434,25,3.5시간
Linux Completo para Usuário Comum ou Desenvolvedor,https://www.udemy.com/course/curso-de-linux-completo-para-usuario-comum-ou-desenvolvedor/,Geek University,4.6100135,490,1792,89,15.5시간
Servidor de Pruebas Linux para ambientes de Desarrollo Web.,https://www.udemy.com/course/servidor-de-pruebas-para-ambientes-de-desarrollo-web/,Ing. Carlos Pérez,4.6511374,487,3570,26,3.5시간
Vmware VSphere 6.7 - Curso Prático,https://www.udemy.com/course/vmware-vsphere-67-curso-pratico/,Eduardo Pasquotto Orsolini,4.139115,486,3382,9,1시간
Linux Ubuntu 18.04 do básico ao avançado,https://www.udemy.com/course/linux-ubuntu-1804-do-basico-ao-avancado/,Ednaldo Mendes de Araújo,4.5705214,474,3327,56,5시간
