강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
DevOps: CI/CD using AWS CodePipeline & Elastic Beanstalk,https://www.udemy.com/course/devops-automation-aws-codepipeline-elastic-beanstalk/,Ali Rizavi,4.5,1395,14404,62,270.0,software_engineering
Apache Spark 3 & Big Data Essentials in Scala | Rock the JVM,https://www.udemy.com/course/spark-essentials/,Daniel Ciocîrlan,4.7,1381,7994,25,450.0,software_engineering
Embedded Systems Bare-Metal Programming Ground Up™ (STM32),https://www.udemy.com/course/embedded-systems-bare-metal-programming/,Israel Gbati,4.5,1361,7746,136,1470.0,software_engineering
Dependency Injection in .NET Core & .NET 6 (Second Edition),https://www.udemy.com/course/dependency-injection-in-net-core-2-and-aspnet-core-2/,Aref Karimi,4.5,1357,6291,24,120.0,software_engineering
QC101 Quantum Computing & Quantum Physics for Beginners,https://www.udemy.com/course/qc101-introduction-to-quantum-computing-quantum-physics-for-beginners/,Kumaresan Ramanathan,4.6,1339,6826,107,210.0,software_engineering
Domain Driven Design: Complete Software Architecture Course,https://www.udemy.com/course/domain-driven-design-complete-software-architecture-course/,Binary Brain,4.0,1330,6906,14,90.0,software_engineering
"Learn AWS Identity Management with AWS IAM, SSO & Federation",https://www.udemy.com/course/aws-iam-aws-organizations-aws-sso-aws-directory-service-federation/,Neal Davis | AWS Certified Solutions Architect & Developer,4.6,1244,23524,51,240.0,software_engineering
Unified Modeling Language (UML): Complete Guide & Examples,https://www.udemy.com/course/uml-the-complete-uml-unified-modeling-language-reference/,Maged Koshty,4.1,1225,5955,50,240.0,software_engineering
Atlassian Bamboo from Beginner to Advanced!,https://www.udemy.com/course/bamboo-continuous-integration-for-devops-developers/,Aref Karimi,4.1,1202,7929,36,330.0,software_engineering
Algorithms and Data Structures in C#: Complete Tutorial,https://www.udemy.com/course/algorithms-data-structures-csharp/,Engineer Spock,4.4,1146,9216,137,930.0,software_engineering
TCP/IP Socket Programming in C# .Net For Coders & Students,https://www.udemy.com/course/tcpip-socket-programming-for-coders-using-csharp-net/,Naeem Akram,4.6,1142,10494,73,270.0,software_engineering
Cryptocurrency Trading Bot with a User Interface in Python,https://www.udemy.com/course/cryptocurrency-trading-bot-with-user-interface-in-python/,Vincent Carmier,4.5,1111,10166,65,600.0,software_engineering
Apache Airflow | A Real-Time & Hands-On Course on Airflow,https://www.udemy.com/course/apache-airflow/,A to Z Mentors,4.5,1101,6442,63,360.0,software_engineering
Software Architecture: Meta and SOLID Principles in C#,https://www.udemy.com/course/solid-principles/,Engineer Spock,3.9,1098,7568,64,300.0,software_engineering
JavaScript Interview Prep: Practice Problems,https://www.udemy.com/course/javascript-interview-prep/,Eric Traub,4.9,1052,13287,122,240.0,software_engineering
Learn Unit Testing with NUnit and C#,https://www.udemy.com/course/unit-testing/,Engineer Spock,4.4,1046,5561,94,450.0,software_engineering
"Event-Driven Microservices, CQRS, SAGA, Axon, Spring Boot",https://www.udemy.com/course/spring-boot-microservices-cqrs-saga-axon-framework/,Sergey Kargopolov,4.6,1016,9040,164,540.0,software_engineering
Advanced Object Oriented Analysis of Hard Problems using UML,https://www.udemy.com/course/advanced-object-oriented-analysis-of-hard-problems/,Per Emanuelsson,4.5,990,9822,80,570.0,software_engineering
Autonomous Cars: Deep Learning and Computer Vision in Python,https://www.udemy.com/course/autonomous-cars-deep-learning-and-computer-vision-in-python/,Sundog Education by Frank Kane,4.4,979,9073,92,780.0,software_engineering
Programming the Arduino - Getting Started,https://www.udemy.com/course/arduino-programming-for-beginners/,Edouard Renard,4.7,975,5893,79,420.0,software_engineering
Data Structure & Algorithm using C++ : Zero To Mastery 2022,https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,Ankit Thakran,4.4,965,7046,268,3870.0,software_engineering
Learn MATLAB and Simulink Programming,https://www.udemy.com/course/learn-matlab-and-simulink-programming/,Jordan Christman,4.4,957,6072,76,420.0,software_engineering
CS101 Bootcamp: Introduction to Computer Science & Software,https://www.udemy.com/course/cs101-introduction-to-computer-science/,Samuel Spencer,4.0,947,6523,13,150.0,software_engineering
RSLogix/Studio 5000 PLC Ladder Logic Training. Basic.,https://www.udemy.com/course/basic-introduction-and-programming-of-plcs-using-logix5000/,Jeff Sharman,4.3,945,3105,31,180.0,software_engineering
Spring Boot For Beginners,https://www.udemy.com/course/spring-boot-essentials/,Nelson Jamal,4.5,937,6913,20,90.0,software_engineering
"Learn By Example: Hadoop, MapReduce for Big Data problems",https://www.udemy.com/course/learn-by-example-hadoop-mapreduce/,Loony Corn,4.2,932,8430,73,810.0,software_engineering
Data Structures and Algorithms In C#,https://www.udemy.com/course/data-structures-and-algorithms-in-csharp/,Deepali Srivastava,4.1,930,4569,149,630.0,software_engineering
Build Microservices with .NET & Amazon Web Services,https://www.udemy.com/course/build-microservices-with-aspnet-core-amazon-web-services/,Aref Karimi,4.0,921,5293,76,750.0,software_engineering
Data Structures and Algorithms In C,https://www.udemy.com/course/data-structures-and-algorithms-in-c/,Deepali Srivastava,4.4,906,3540,151,630.0,software_engineering
The Complete MacOS Developer Course - Apps for the Desktop!,https://www.udemy.com/course/macos-programming-for-ios-developers-mac-apps-os-x-cocoa/,Nick Walter,3.6,898,6209,173,1260.0,software_engineering
Train YOLO for Object Detection with Custom Data,https://www.udemy.com/course/training-yolo-v3-for-objects-detection-with-custom-data/,Valentyn Sichkar,4.1,865,4093,58,420.0,software_engineering
DevOps Fundamentals: Gain Solid Understanding,https://www.udemy.com/course/devops-fundamentals/,Syed Raza,3.9,865,11873,25,150.0,software_engineering
Technical Writing: How to Write Software Documentation,https://www.udemy.com/course/start-your-career-as-user-assistance-developer/,JPDocu School of Technical Writing,4.4,857,4563,160,780.0,software_engineering
UML Class Diagrams for Programmers,https://www.udemy.com/course/uml-class-diagrams-for-programmers/,Riaan Nel,4.5,841,4898,21,90.0,software_engineering
Get into DevOps: The Masterclass,https://www.udemy.com/course/devops-masterclass/,Releaseworks Academy,4.1,836,4469,40,210.0,software_engineering
High Performance Coding with .NET Core and C#,https://www.udemy.com/course/high-performance-coding-with-net-core-and-csharp/,Gergely Kalapos,4.4,829,7245,38,390.0,software_engineering
Spring Boot For Software Engineers,https://www.udemy.com/course/spring-boot-for-software-engineers/,Nelson Jamal,4.4,816,4731,75,390.0,software_engineering
