강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
Redis Bootcamp for Beginners: Get Hands On with Redis.,https://www.udemy.com/course/redis-bootcamp-for-beginners/,Diwakar Singh,4.7,387,3578,88,660.0,DataBase
Mastering SQL Server 2016 Integration Services (SSIS)-Part 2,https://www.udemy.com/course/masteringssis2016part2/,Kameswara Sarma Uppuluri,4.4,386,3530,87,780.0,DataBase
Learn SQL for Beginners - How To Learn SQL The Easy Way,https://www.udemy.com/course/learn-sql-for-beginners/,Todd McLeod,4.4,385,27838,203,1050.0,DataBase
Azure LOG ANALYTICS Inside-Out,https://www.udemy.com/course/azure-log-analytics/,Sumesh P,4.4,384,2644,102,300.0,DataBase
Learning VMware vRealize Operations Manager,https://www.udemy.com/course/learning-vmware-vrealize-operations-manager/,Packt Publishing,3.2,377,2146,33,180.0,DataBase
MySQL Database Training for Beginners,https://www.udemy.com/course/mysql-database-training-course/,Simon Sez IT,4.1,376,6267,41,330.0,DataBase
SQL Server 2016 Administration,https://www.udemy.com/course/sql-server-2016-administration-x/,Raphael Asghar,4.2,376,2614,37,390.0,DataBase
Microsoft SQL Server 2017 Database Training For Beginners,https://www.udemy.com/course/microsoft-sql-server-training-for-beginners/,Valiveti Sekhar,4.2,376,1502,102,690.0,DataBase
The Philosophy of FileMaker - Part 1,https://www.udemy.com/course/the-philosophy-of-filemaker-part-1/,John Mark Osborne,4.7,376,1119,91,510.0,DataBase
SQL - Introduction to SQL with MySQL,https://www.udemy.com/course/sql-introduction-to-mysql/,Kyle Pew,4.8,372,1749,58,180.0,DataBase
Oracle Database Administrator DBA,https://www.udemy.com/course/become-oracle-dbalearn-database-administration-from-scratch/,Oak Academy,4.4,370,2702,66,420.0,DataBase
SQL Tutorial For Tester,https://www.udemy.com/course/sql-tutorial-for-beginners/,S D Academy,4.1,369,1019,32,120.0,DataBase
Mastering SQL Query With SQL Server,https://www.udemy.com/course/what-is-sql-programming-language-with-examples/,Step2C Education,3.6,366,24936,108,630.0,DataBase
Learn Azure Cosmos DB basics this weekend in 3 hour,https://www.udemy.com/course/azure-cosmosdb/,"Eshant Garg | AWS Certified Cloud Practitioner | LearnCloud.Info | 100,000+ Enrollments",4.4,363,2948,37,270.0,DataBase
IBM Cognos Report Studio,https://www.udemy.com/course/ibm-cognos-report-studio/,Packt Publishing,4.0,363,2092,25,90.0,DataBase
SQL Server 2017 Express Basics,https://www.udemy.com/course/basicsqlwithsqlserver2016/,T O,4.5,356,1788,41,360.0,DataBase
The SQL Programming Essentials 2022 Immersive Training,https://www.udemy.com/course/the-sql-programming-essentials-immersive-training/,SDE OCTOPUS | AI,4.1,356,53075,50,210.0,DataBase
