강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
Modern Food Recipes App - Android Development with Kotlin,https://www.udemy.com/course/modern-food-recipes-app-android-development-with-kotlin/,Stefan Jovanovic,4.5,539,2482,149,960.0,devel_mobile
Flutter & Dart Development For Building iOS and Android Apps,https://www.udemy.com/course/flutter-mobile-development/,Frahaan Hussain,4.8,535,29309,125,600.0,devel_mobile
How To Launch Your App In  Just 16 hrs - Android Development,https://www.udemy.com/course/design-code-an-android-app-from-scratch/,Vivek Ramesh,3.8,524,2105,110,990.0,devel_mobile
Intro to React Native build a chat app,https://www.udemy.com/course/learn-react-native-by-building-a-chat-app/,Bryan Ellis,1.9,517,27196,5,33.0,devel_mobile
Pro Android: Modern Android Architectures - MVVM MVP MVC,https://www.udemy.com/course/androidarchitectures/,Catalin Stefan,4.6,512,1938,19,150.0,devel_mobile
Build UBER Clone App Using Flutter and Firebase (2020),https://www.udemy.com/course/flutter-uber-clone-app-with-firebase/,Ufinix Academy,4.1,507,3544,113,930.0,devel_mobile
Swift Essentials - Learn Swift 2.1 Step by Step,https://www.udemy.com/course/swift-learn-apples-new-programming-language-by-examples/,Nick Walter,4.5,505,12153,150,630.0,devel_mobile
The Complete Android Oreo Tutorial - Make 30 Apps,https://www.udemy.com/course/the-complete-android-tutorial-for-beginners/,Sriyank Siddhartha,2.9,492,23050,141,1050.0,devel_mobile
Flutter BLoC - From Zero to Hero Complete Course,https://www.udemy.com/course/bloc-from-zero-to-hero/,Tiberiu Potec,4.3,483,11996,12,180.0,devel_mobile
How to Make a Freaking iPhone App - iOS 11 and Swift 4,https://www.udemy.com/course/how-to-make-a-freaking-iphone-app-ios-11-and-swift-4-xcode-9/,Nick Walter,4.4,482,3295,143,990.0,devel_mobile
Develop Full iOS Twitter Clone App in Swift & Custom Backend,https://www.udemy.com/course/swift-php-mysql-html/,Akhmed Idigov,4.9,479,2529,117,1140.0,devel_mobile
SwiftUI 2 - Build Netflix Clone - SwiftUI Best Practices,https://www.udemy.com/course/swiftui-netflix/,Nikita Thomas,4.7,473,3378,41,660.0,devel_mobile
Intro to React Native build a cryptocurrency tracker app,https://www.udemy.com/course/ultimate-react-native-with-firebase/,Bryan Ellis,3.1,471,18211,5,60.0,devel_mobile
